applicant_id,department,gender,experience_years,test_score,interview_round,hired
A0481,영업,남,9.3,69.2,1,1
A0568,영업,여,3.4,80.0,3,1
A0117,개발,남,2.3,52.6,3,0
A0955,마케팅,여,12.9,75.9,3,0
A0967,마케팅,여,4.7,79.9,3,0
A1110,마케팅,여,7.8,59.8,2,0
A0771,디자인,여,7.8,88.6,1,1
A0783,디자인,여,5.2,62.7,1,0
A0121,개발,남,2.9,64.7,1,1
A0896,디자인,여,0.9,44.6,3,0
A1000,마케팅,여,0.4,65.0,3,0
A0779,디자인,여,7.3,69.0,3,0
A0063,개발,남,5.3,76.1,2,1
A0914,마케팅,남,3.6,81.9,2,1
A0454,영업,남,0.0,50.7,1,1
A0516,영업,남,3.5,59.6,3,1
A0571,영업,여,3.6,66.8,2,1
A0224,개발,남,4.0,76.4,3,1
A0614,디자인,남,7.7,79.2,1,0
A0222,개발,남,4.1,75.0,2,0
A0758,디자인,여,4.6,63.9,1,0
A0800,디자인,여,8.6,83.5,2,0
A0466,영업,남,4.2,50.9,2,0
A0053,개발,남,0.5,62.7,3,1
A1169,마케팅,여,1.8,58.4,3,1
A0486,영업,남,1.2,54.5,2,1
A1144,마케팅,여,1.6,68.6,1,0
A0922,마케팅,남,3.4,62.2,3,0
A0156,개발,남,5.5,74.4,1,1
A1196,마케팅,여,7.4,73.8,2,1
A0601,디자인,남,3.1,73.6,2,0
A0882,디자인,여,2.3,76.9,1,0
A0249,개발,남,5.0,82.4,1,0
A0442,영업,남,6.4,62.4,1,1
A0985,마케팅,여,6.5,62.1,2,1
A1186,마케팅,여,3.4,41.4,2,0
A0543,영업,남,5.1,75.7,3,1
A0118,개발,남,8.5,57.8,1,0
A0730,디자인,여,7.0,67.1,1,0
A0629,디자인,남,4.5,65.9,3,1
A1165,마케팅,여,5.8,66.2,2,0
A1151,마케팅,여,4.8,56.2,1,0
A0292,개발,남,6.7,61.7,3,1
A1045,마케팅,여,9.8,74.8,3,0
A0382,영업,남,4.2,71.4,1,1
A0818,디자인,여,2.9,42.9,1,0
A0201,개발,남,1.8,54.0,2,1
A0597,영업,여,8.0,89.0,1,1
A0986,마케팅,여,2.2,56.9,3,1
A1141,마케팅,여,7.6,77.5,1,1
A1192,마케팅,여,6.6,95.4,3,1
A0697,디자인,여,8.9,90.0,3,0
A0506,영업,남,4.4,76.3,1,1
A0349,개발,여,0.0,50.7,3,1
A1195,마케팅,여,6.0,84.2,1,0
A0341,개발,여,3.8,65.4,1,1
A0616,디자인,남,6.0,63.9,3,0
A0155,개발,남,1.2,53.4,2,1
A1145,마케팅,여,8.2,70.4,1,0
A0768,디자인,여,5.8,82.6,2,1
A1036,마케팅,여,4.4,67.5,1,0
A0288,개발,남,2.9,77.3,3,1
A0323,개발,여,5.3,87.3,3,1
A0826,디자인,여,4.9,67.5,3,0
A0825,디자인,여,3.7,61.2,3,1
A0802,디자인,여,6.2,69.9,2,1
A0083,개발,남,7.1,76.4,2,1
A0799,디자인,여,4.1,80.7,3,0
A0465,영업,남,5.5,80.1,2,1
A1027,마케팅,여,4.5,68.3,2,0
A0762,디자인,여,6.3,62.2,2,0
A1173,마케팅,여,2.3,53.0,3,0
A0885,디자인,여,9.0,74.2,3,1
A0334,개발,여,5.4,87.0,2,1
A0011,개발,남,1.7,70.1,2,1
A0471,영업,남,5.7,69.8,1,1
A0033,개발,남,0.8,71.9,3,1
A1150,마케팅,여,5.3,66.2,2,0
A0414,영업,남,5.0,78.9,3,1
A0581,영업,여,5.0,68.7,3,1
A0383,영업,남,4.6,69.8,3,0
A0829,디자인,여,3.2,49.4,3,0
A0898,디자인,여,4.6,41.3,3,0
A1178,마케팅,여,3.2,60.7,2,0
A0841,디자인,여,1.6,72.4,3,1
A1143,마케팅,여,3.1,49.3,1,0
A0379,영업,남,6.6,58.8,3,1
A0090,개발,남,9.1,81.3,3,0
A0798,디자인,여,4.6,74.6,1,0
A0602,디자인,남,3.4,65.9,2,0
A0214,개발,남,5.1,62.5,3,1
A0333,개발,여,5.9,72.7,2,1
A0134,개발,남,7.3,66.4,3,0
A0347,개발,여,7.3,64.1,2,1
A0862,디자인,여,4.2,69.9,1,0
A0008,개발,남,1.8,59.5,3,0
A1135,마케팅,여,4.2,59.7,2,0
A0321,개발,여,0.8,56.3,2,0
A1048,마케팅,여,2.7,55.9,2,0
A0188,개발,남,3.7,55.3,3,0
A0982,마케팅,여,8.7,53.7,1,0
A0553,영업,여,7.1,82.3,2,0
A0305,개발,여,9.2,84.2,3,1
A0032,개발,남,2.0,63.3,3,1
A0838,디자인,여,5.7,86.3,1,1
A0685,디자인,여,10.6,69.6,2,0
A1182,마케팅,여,3.5,51.0,1,0
A0241,개발,남,2.8,60.6,1,1
A1003,마케팅,여,5.7,66.3,3,0
A0175,개발,남,2.5,62.1,1,1
A0246,개발,남,7.0,92.1,3,1
A0057,개발,남,4.6,72.5,1,1
A0631,디자인,남,4.3,59.7,1,0
A0584,영업,여,6.4,61.5,2,0
A1029,마케팅,여,0.0,73.5,1,1
A0146,개발,남,5.1,52.0,2,0
A0091,개발,남,4.4,88.2,2,1
A1118,마케팅,여,6.1,67.5,2,0
A0393,영업,남,4.9,71.0,3,0
A0683,디자인,여,7.3,74.4,2,0
A0311,개발,여,0.6,70.7,2,1
A0360,영업,남,5.6,73.4,1,1
A0094,개발,남,1.6,54.5,2,0
A0957,마케팅,여,7.7,75.9,2,0
A1028,마케팅,여,4.7,78.8,2,1
A0377,영업,남,3.6,45.0,2,0
A0244,개발,남,4.4,63.0,2,1
A1080,마케팅,여,1.9,56.4,1,1
A0088,개발,남,11.6,83.3,3,0
A0215,개발,남,2.6,72.9,1,1
A0445,영업,남,2.2,69.1,3,0
A0174,개발,남,2.0,69.8,1,1
A0426,영업,남,2.5,90.8,3,1
A1152,마케팅,여,0.0,43.4,1,0
A0119,개발,남,6.9,69.2,3,0
A0120,개발,남,2.4,68.9,2,0
A0916,마케팅,남,1.4,62.4,3,0
A0875,디자인,여,2.7,71.4,1,0
A0001,개발,남,7.3,67.5,3,0
A0395,영업,남,3.1,85.4,1,1
A0402,영업,남,3.7,69.1,3,1
A0405,영업,남,5.8,86.6,1,1
A0843,디자인,여,4.9,75.2,1,1
A0854,디자인,여,0.8,73.8,3,0
A0163,개발,남,4.5,63.0,3,1
A0115,개발,남,5.6,77.6,3,1
A0671,디자인,여,1.5,63.1,1,1
A0151,개발,남,1.6,63.9,2,1
A1160,마케팅,여,2.6,49.9,2,0
A0792,디자인,여,3.0,50.5,3,0
A1189,마케팅,여,4.4,75.3,3,0
A0369,영업,남,7.6,60.8,2,0
A0544,영업,남,4.8,68.5,1,1
A0478,영업,남,0.4,57.7,1,0
A1132,마케팅,여,8.9,58.7,3,0
A0533,영업,남,7.5,71.3,3,1
A0626,디자인,남,5.0,67.0,3,1
A0977,마케팅,여,0.2,50.1,2,0
A0513,영업,남,4.3,61.1,3,0
A0807,디자인,여,4.3,80.1,3,0
A0073,개발,남,3.7,75.4,1,0
A0259,개발,남,3.8,66.8,1,1
A0625,디자인,남,3.4,76.9,2,0
A0235,개발,남,3.3,70.6,1,1
A0136,개발,남,3.4,63.4,2,1
A0617,디자인,남,3.1,55.8,2,1
A0517,영업,남,5.5,74.4,3,0
A1062,마케팅,여,2.0,77.7,2,1
A0803,디자인,여,0.0,47.7,1,1
A0810,디자인,여,5.3,71.8,3,1
A0593,영업,여,9.2,80.1,1,1
A1072,마케팅,여,2.6,58.7,3,0
A0502,영업,남,9.9,79.3,2,1
A0539,영업,남,3.3,77.0,1,1
A1190,마케팅,여,6.0,63.5,3,0
A0729,디자인,여,6.7,87.8,1,0
A0582,영업,여,5.9,97.8,3,1
A0344,개발,여,5.5,84.7,3,1
A1078,마케팅,여,4.6,60.4,3,0
A0864,디자인,여,4.7,74.8,2,0
A0294,개발,남,3.4,50.0,2,0
A0365,영업,남,5.2,76.2,3,1
A0861,디자인,여,3.5,65.9,2,0
A0660,디자인,여,4.5,83.0,3,0
A0015,개발,남,8.4,72.6,3,1
A0687,디자인,여,6.1,56.4,2,0
A0087,개발,남,3.1,71.7,3,1
A0371,영업,남,3.2,59.3,3,0
A0166,개발,남,5.0,62.6,1,1
A0132,개발,남,5.9,83.4,1,1
A0336,개발,여,4.3,66.1,1,0
A0060,개발,남,1.6,60.0,3,1
A0710,디자인,여,6.2,58.5,2,0
A0677,디자인,여,4.8,52.9,1,0
A0355,영업,남,6.2,68.2,2,0
A0969,마케팅,여,2.1,61.0,3,0
A0425,영업,남,4.3,78.5,1,0
A0293,개발,남,3.0,70.5,2,0
A0042,개발,남,8.7,84.7,1,1
A0330,개발,여,2.2,71.3,1,1
A0615,디자인,남,2.2,73.7,1,1
A0430,영업,남,0.4,57.8,2,1
A0080,개발,남,4.7,85.3,3,0
A0694,디자인,여,5.8,70.9,1,0
A0029,개발,남,7.8,58.2,3,0
A0708,디자인,여,4.9,64.0,2,0
A0906,마케팅,남,4.6,70.5,1,0
A0900,디자인,여,1.5,78.8,1,1
A0255,개발,남,7.4,79.8,2,1
A0161,개발,남,6.1,76.5,1,1
A0459,영업,남,1.2,63.9,1,1
A0384,영업,남,5.0,64.1,3,0
A0314,개발,여,3.7,80.8,3,1
A0085,개발,남,3.0,67.7,3,0
A0575,영업,여,1.9,72.1,3,1
A0763,디자인,여,3.2,49.0,2,0
A0137,개발,남,6.6,82.5,2,1
A0112,개발,남,6.7,73.2,2,1
A0195,개발,남,8.0,89.6,1,0
A0853,디자인,여,4.9,69.7,3,0
A0179,개발,남,0.8,59.8,3,0
A0556,영업,여,3.0,56.3,2,1
A0724,디자인,여,5.7,71.8,1,0
A0996,마케팅,여,5.6,75.8,2,0
A0497,영업,남,6.4,83.4,2,1
A0867,디자인,여,3.3,64.3,3,1
A0806,디자인,여,2.4,55.7,1,1
A0130,개발,남,5.4,90.0,1,1
A0716,디자인,여,9.4,77.4,2,0
A0338,개발,여,8.5,72.1,1,1
A1191,마케팅,여,2.9,71.7,3,1
A0609,디자인,남,8.2,89.6,2,0
A0125,개발,남,4.5,84.5,3,1
A0196,개발,남,6.4,86.6,1,1
A0227,개발,남,7.9,62.5,2,0
A0690,디자인,여,8.1,60.8,2,0
A0269,개발,남,3.8,69.5,2,1
A0153,개발,남,3.4,59.9,2,0
A0585,영업,여,6.2,85.9,2,0
A0104,개발,남,5.7,49.2,1,0
A0594,영업,여,4.6,73.8,1,1
A1101,마케팅,여,0.0,69.2,3,1
A0787,디자인,여,7.2,65.5,1,0
A1124,마케팅,여,10.1,57.9,3,0
A0777,디자인,여,7.5,65.1,1,0
A0908,마케팅,남,5.8,55.1,2,0
A0850,디자인,여,5.7,64.0,3,0
A0228,개발,남,5.4,74.7,2,1
A1123,마케팅,여,3.7,73.1,2,0
A0302,개발,여,3.5,83.2,2,1
A0855,디자인,여,4.8,85.5,1,1
A0276,개발,남,5.6,66.0,3,1
A0127,개발,남,9.7,88.7,1,1
A0406,영업,남,6.2,79.0,1,1
A0776,디자인,여,2.1,65.1,3,0
A0822,디자인,여,6.3,66.1,2,0
A0712,디자인,여,7.0,80.6,2,1
A0766,디자인,여,1.4,60.9,1,1
A0684,디자인,여,5.2,76.2,1,0
A0750,디자인,여,4.9,66.1,3,0
A1126,마케팅,여,0.0,68.7,2,0
A0037,개발,남,3.3,85.7,3,1
A0140,개발,남,8.6,83.4,3,1
A0304,개발,여,4.1,54.9,1,1
A0268,개발,남,1.2,51.4,1,0
A0835,디자인,여,6.3,65.0,3,1
A0534,영업,남,5.2,84.4,1,1
A0546,영업,남,1.6,57.6,2,0
A0213,개발,남,0.0,66.5,1,0
A0897,디자인,여,4.7,78.4,3,0
A0469,영업,남,3.8,71.5,2,0
A0199,개발,남,1.6,86.5,1,1
A0868,디자인,여,4.5,59.8,3,0
A0673,디자인,여,7.5,64.4,3,0
A0528,영업,남,4.7,65.9,1,1
A0676,디자인,여,1.5,59.6,1,1
A1056,마케팅,여,3.6,71.3,1,0
A0815,디자인,여,0.0,54.9,1,0
A0242,개발,남,3.5,73.1,3,1
A0343,개발,여,2.7,78.6,2,1
A0550,영업,남,4.7,78.1,2,1
A0387,영업,남,2.6,54.8,3,0
A1105,마케팅,여,3.2,80.2,1,0
A0207,개발,남,7.1,63.1,3,1
A0296,개발,남,5.8,72.1,2,1
A0696,디자인,여,8.7,86.4,3,1
A1041,마케팅,여,3.7,58.0,3,0
A0074,개발,남,6.5,70.8,3,0
A0606,디자인,남,3.5,64.3,1,1
A0105,개발,남,4.3,62.5,3,1
A0952,마케팅,여,5.6,75.7,1,0
A1049,마케팅,여,3.9,75.3,1,1
A1171,마케팅,여,0.0,59.2,3,1
A0017,개발,남,0.0,66.9,2,1
A0440,영업,남,4.1,70.2,2,1
A0092,개발,남,5.5,79.0,2,1
A0089,개발,남,5.2,59.2,3,1
A1040,마케팅,여,6.6,71.3,3,0
A0909,마케팅,남,7.6,70.1,3,0
A0451,영업,남,1.3,73.0,2,1
A0718,디자인,여,5.1,68.6,3,0
A0103,개발,남,1.3,66.0,3,1
A0239,개발,남,5.5,77.0,1,1
A1043,마케팅,여,1.1,58.9,1,0
A0943,마케팅,남,5.2,72.5,3,1
A0247,개발,남,5.0,45.4,3,0
A0939,마케팅,남,2.2,54.1,1,0
A0984,마케팅,여,3.0,71.9,1,0
A0158,개발,남,4.2,85.0,3,1
A0480,영업,남,2.9,65.5,1,0
A0839,디자인,여,3.6,74.2,2,0
A0646,디자인,남,6.6,70.6,3,0
A0006,개발,남,3.3,69.6,1,1
A1079,마케팅,여,3.2,67.5,3,0
A0872,디자인,여,0.9,57.4,1,0
A0019,개발,남,5.4,74.5,3,1
A0973,마케팅,여,3.5,58.3,2,0
A0122,개발,남,5.6,87.0,3,1
A0947,마케팅,남,3.6,60.3,2,1
A0662,디자인,여,5.6,72.2,3,0
A0972,마케팅,여,7.8,74.8,1,1
A0275,개발,남,2.5,60.8,3,0
A0434,영업,남,4.4,68.1,1,1
A0812,디자인,여,1.0,58.2,1,0
A1131,마케팅,여,3.1,53.3,1,0
A0312,개발,여,0.9,63.0,3,1
A1115,마케팅,여,6.4,87.0,2,1
A1127,마케팅,여,7.6,46.2,2,0
A0781,디자인,여,2.6,48.5,3,0
A0547,영업,남,3.3,77.4,3,1
A0182,개발,남,4.4,63.0,1,1
A0185,개발,남,5.6,71.0,1,1
A0407,영업,남,7.1,71.0,3,1
A0720,디자인,여,2.9,66.6,2,0
A0979,마케팅,여,2.4,57.9,3,0
A0607,디자인,남,1.0,56.2,1,0
A0693,디자인,여,4.0,69.3,1,1
A0521,영업,남,1.1,63.3,3,1
A0866,디자인,여,7.0,58.2,2,0
A0381,영업,남,8.3,75.1,3,1
A0411,영업,남,1.1,58.3,2,1
A0635,디자인,남,3.1,58.7,2,0
A0370,영업,남,6.8,86.8,3,1
A1073,마케팅,여,8.4,66.9,1,0
A1087,마케팅,여,7.1,67.4,3,0
A0428,영업,남,0.7,71.7,2,1
A0877,디자인,여,6.8,64.9,3,0
A0079,개발,남,4.1,76.2,2,1
A0863,디자인,여,7.9,76.4,2,0
A0574,영업,여,4.3,77.4,1,1
A1181,마케팅,여,3.4,62.3,1,0
A0638,디자인,남,4.1,83.0,2,0
A0608,디자인,남,0.3,42.3,3,1
A1058,마케팅,여,5.1,59.5,1,0
A0069,개발,남,3.8,71.3,1,1
A0860,디자인,여,6.5,82.5,3,1
A1085,마케팅,여,5.1,82.8,3,1
A1149,마케팅,여,1.7,78.3,3,1
A0417,영업,남,2.9,67.9,3,1
A1022,마케팅,여,4.6,76.4,2,0
A0562,영업,여,4.7,60.7,3,1
A0904,마케팅,남,2.7,65.5,1,0
A0068,개발,남,4.9,78.0,1,0
A0537,영업,남,5.1,67.5,1,0
A0078,개발,남,5.9,76.8,1,0
A0106,개발,남,8.5,68.1,1,1
A1197,마케팅,여,3.3,65.7,2,0
A1046,마케팅,여,4.8,55.1,1,0
A0959,마케팅,여,1.8,72.8,2,0
A0639,디자인,남,4.9,56.5,2,0
A0560,영업,여,3.6,51.6,2,1
A0847,디자인,여,6.6,65.3,3,0
A0689,디자인,여,6.2,70.8,3,0
A0691,디자인,여,4.8,56.7,2,0
A0827,디자인,여,3.5,75.2,3,1
A1112,마케팅,여,3.4,58.4,2,0
A1159,마케팅,여,3.5,70.3,1,0
A1113,마케팅,여,4.1,75.2,3,0
A0736,디자인,여,1.3,52.3,1,0
A1009,마케팅,여,5.9,60.6,3,1
A0437,영업,남,0.6,63.9,2,1
A0491,영업,남,5.3,68.2,1,0
A1193,마케팅,여,2.0,57.3,2,0
A0830,디자인,여,1.2,62.9,3,1
A1094,마케팅,여,3.3,75.8,1,1
A0070,개발,남,6.4,66.9,3,0
A0809,디자인,여,6.5,72.6,2,1
A0012,개발,남,0.0,71.6,1,1
A0145,개발,남,1.1,53.0,2,1
A0918,마케팅,남,6.8,71.4,3,1
A0640,디자인,남,2.5,52.4,1,0
A0177,개발,남,5.1,61.2,1,0
A0995,마케팅,여,5.9,73.3,3,1
A0441,영업,남,3.2,56.5,2,1
A0522,영업,남,5.2,53.4,1,0
A1005,마케팅,여,0.8,65.8,1,0
A0144,개발,남,7.0,74.8,1,1
A0754,디자인,여,7.9,78.9,3,1
A0520,영업,남,5.8,62.5,1,0
A0823,디자인,여,1.3,64.5,1,0
A0429,영업,남,6.0,81.1,3,0
A0613,디자인,남,7.0,68.3,2,1
A1033,마케팅,여,2.5,77.9,1,1
A0157,개발,남,5.8,76.7,3,1
A0540,영업,남,4.7,69.9,2,1
A0462,영업,남,2.9,61.3,2,0
A0577,영업,여,5.0,72.0,3,1
A0256,개발,남,5.2,52.5,2,1
A0980,마케팅,여,0.8,53.5,3,0
A1007,마케팅,여,5.2,70.5,2,0
A0561,영업,여,5.5,50.9,3,0
A0209,개발,남,11.0,88.5,1,1
A0911,마케팅,남,4.6,68.7,2,1
A0002,개발,남,4.1,62.1,2,1
A0270,개발,남,6.8,51.4,1,1
A0266,개발,남,6.5,65.2,3,1
A0915,마케팅,남,3.4,59.6,3,0
A0231,개발,남,3.8,74.1,3,0
A1180,마케팅,여,1.0,54.5,1,0
A1176,마케팅,여,2.8,75.6,1,0
A0865,디자인,여,2.7,67.8,1,0
A0874,디자인,여,1.5,53.7,3,1
A1066,마케팅,여,7.6,88.1,1,1
A0399,영업,남,2.6,56.0,1,0
A1088,마케팅,여,3.1,71.6,1,0
A0046,개발,남,7.9,65.4,2,0
A0162,개발,남,4.4,64.3,3,0
A0992,마케팅,여,3.3,59.7,3,0
A0728,디자인,여,5.2,82.0,3,1
A0630,디자인,남,3.4,74.9,1,0
A0289,개발,남,6.4,73.7,2,1
A1060,마케팅,여,8.6,71.4,3,0
A1166,마케팅,여,2.5,51.4,3,0
A0576,영업,여,3.9,63.6,1,1
A0851,디자인,여,7.2,66.2,2,0
A0912,마케팅,남,7.5,69.5,1,0
A1081,마케팅,여,7.2,66.0,1,0
A0933,마케팅,남,5.5,71.0,2,0
A0248,개발,남,4.7,88.8,2,1
A0477,영업,남,5.8,79.3,2,1
A0086,개발,남,3.1,56.2,1,0
A0470,영업,남,5.1,72.1,3,0
A0226,개발,남,4.7,81.7,2,1
A0775,디자인,여,1.3,54.1,1,0
A0332,개발,여,1.4,72.8,2,1
A0234,개발,남,7.7,52.4,2,1
A0589,영업,여,4.6,59.3,2,0
A0476,영업,남,6.2,65.0,3,1
A0600,영업,여,3.6,75.6,2,1
A0422,영업,남,4.3,71.3,2,1
A0183,개발,남,2.4,70.5,1,0
A0989,마케팅,여,5.3,64.3,3,0
A1001,마케팅,여,4.4,67.4,1,0
A0050,개발,남,8.7,81.2,3,0
A1120,마케팅,여,6.3,67.4,2,0
A1030,마케팅,여,4.1,66.0,2,0
A0530,영업,남,5.5,54.0,3,0
A0487,영업,남,4.5,64.5,3,1
A0498,영업,남,3.4,60.8,1,0
A0107,개발,남,5.7,53.0,3,0
A0444,영업,남,3.6,64.4,2,1
A0647,디자인,남,3.4,50.9,3,0
A1037,마케팅,여,0.0,61.3,1,1
A0727,디자인,여,7.2,53.8,3,0
A0191,개발,남,9.4,73.0,3,0
A0283,개발,남,5.5,66.1,3,1
A0030,개발,남,4.6,60.0,2,0
A0170,개발,남,1.8,55.7,2,0
A1002,마케팅,여,2.1,57.7,2,0
A0101,개발,남,6.3,66.5,2,1
A0198,개발,남,6.7,68.0,1,0
A0496,영업,남,2.8,48.2,3,1
A0648,디자인,남,2.6,68.4,1,0
A0988,마케팅,여,2.5,72.2,1,0
A0045,개발,남,6.1,71.5,2,1
A0711,디자인,여,7.9,73.9,1,0
A0374,영업,남,5.1,89.6,2,1
A0679,디자인,여,5.0,67.8,2,0
A0567,영업,여,5.2,55.8,1,0
A0848,디자인,여,3.9,47.6,3,0
A0461,영업,남,3.3,59.4,2,1
A0040,개발,남,4.9,66.5,2,1
A0435,영업,남,1.2,56.7,1,0
A0974,마케팅,여,6.0,79.9,2,0
A1008,마케팅,여,4.2,84.1,3,0
A0457,영업,남,7.2,79.7,1,1
A0261,개발,남,1.2,70.9,2,1
A0036,개발,남,5.6,82.1,1,1
A0828,디자인,여,2.4,71.1,1,1
A0310,개발,여,2.6,74.7,3,1
A0277,개발,남,3.3,68.3,3,1
A0637,디자인,남,6.9,76.5,2,0
A0655,디자인,여,5.7,93.6,1,0
A0623,디자인,남,3.9,71.4,2,1
A0845,디자인,여,4.7,54.9,1,0
A0394,영업,남,5.7,81.0,3,1
A0108,개발,남,1.1,52.9,3,0
A0350,개발,여,1.9,72.1,2,1
A0525,영업,남,4.1,70.8,3,0
A0785,디자인,여,7.0,83.7,3,1
A0048,개발,남,4.3,69.2,3,1
A0204,개발,남,2.8,74.3,2,1
A0022,개발,남,8.5,81.6,2,1
A0403,영업,남,5.6,73.6,3,0
A1108,마케팅,여,6.3,58.1,3,0
A0990,마케팅,여,4.3,69.8,3,1
A0742,디자인,여,3.8,62.9,1,1
A1148,마케팅,여,2.7,79.9,1,1
A0034,개발,남,7.2,66.9,2,1
A0788,디자인,여,2.3,61.0,3,0
A0924,마케팅,남,4.2,72.6,3,0
A1044,마케팅,여,9.4,57.3,2,0
A1155,마케팅,여,0.0,56.3,3,0
A0580,영업,여,4.0,83.2,1,1
A0482,영업,남,0.9,52.6,3,1
A0932,마케팅,남,4.2,56.4,2,0
A0357,영업,남,3.5,61.8,1,1
A0760,디자인,여,3.2,62.5,2,0
A0093,개발,남,5.9,79.2,2,1
A0804,디자인,여,3.8,78.3,1,0
A0746,디자인,여,5.6,61.5,1,0
A0280,개발,남,5.9,59.2,3,0
A0765,디자인,여,2.7,63.5,1,0
A0605,디자인,남,4.4,67.8,1,0
A1187,마케팅,여,5.1,72.5,2,0
A0401,영업,남,7.0,69.4,2,1
A0258,개발,남,5.7,67.6,1,1
A0945,마케팅,남,5.5,59.8,2,0
A1097,마케팅,여,3.4,56.2,2,0
A1162,마케팅,여,4.3,73.4,1,1
A0495,영업,남,1.5,58.0,1,1
A0773,디자인,여,3.3,65.3,1,1
A0551,영업,여,7.1,69.6,1,1
A0202,개발,남,3.8,70.7,2,0
A0313,개발,여,0.3,56.0,1,0
A0291,개발,남,5.3,72.4,2,0
A0764,디자인,여,3.2,58.5,3,0
A1137,마케팅,여,0.1,62.8,3,0
A0950,마케팅,남,8.9,71.0,1,0
A0184,개발,남,6.1,85.8,3,1
A1177,마케팅,여,5.6,65.3,2,0
A1069,마케팅,여,5.2,67.4,1,0
A1031,마케팅,여,0.9,51.7,1,0
A0251,개발,남,3.1,63.0,2,1
A0824,디자인,여,1.9,53.2,3,0
A1100,마케팅,여,2.8,85.8,1,1
A0941,마케팅,남,6.4,48.9,1,0
A0392,영업,남,3.8,72.0,1,1
A1093,마케팅,여,2.3,64.0,1,0
A0905,마케팅,남,2.7,60.3,2,0
A0731,디자인,여,3.3,68.8,1,0
A0555,영업,여,2.1,50.7,1,1
A0367,영업,남,7.0,70.3,3,0
A0346,개발,여,7.6,79.1,3,0
A0536,영업,남,3.8,58.4,2,1
A0920,마케팅,남,1.8,76.1,2,0
A0212,개발,남,3.0,63.0,3,1
A0503,영업,남,5.3,58.2,1,1
A0538,영업,남,4.9,92.2,3,1
A0176,개발,남,6.3,78.1,1,1
